,geohash,SearchingByHour
0,dpz2nth,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.5, 5: 0.5, 6: 0, 7: 0.25, 8: 0.1429, 9: 0.2083, 10: 0.1765, 11: 0.5455, 12: 0.402, 13: 0.4, 14: 0.5, 15: 0.1667, 16: 0.5, 17: 0.0741, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
1,dpz2pnp,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.4444, 6: 0.2054, 7: 0.0526, 8: 0.2222, 9: 0.1818, 10: 0.0833, 11: 0, 12: 0, 13: 0.25, 14: 0.75, 15: 0.6667, 16: 0.5, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0.5}"
2,dpz9k90,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.3333, 10: 0.25, 11: 0.1111, 12: 1, 13: 0.0556, 14: 0.0942, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0}"
3,dpz95wt,"{0: 0.3333, 1: 0, 2: 0.1667, 3: 0.25, 4: 0.25, 5: 0, 6: 0.125, 7: 0, 8: 0.0074, 9: 0.025, 10: 0.0063, 11: 0.0204, 12: 0.0648, 13: 0.0241, 14: 0.0657, 15: 0.02, 16: 0, 17: 0.0254, 18: 0.0028, 19: 0.0164, 20: 0.019, 21: 0.0571, 22: 0.0769, 23: 0.1235}"
4,dpz2jsn,"{0: 0.4, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.0312, 8: 0.0714, 9: 0.0833, 10: 0.05, 11: 0, 12: 0.0517, 13: 0.0345, 14: 0.1364, 15: 0.0476, 16: 0.1458, 17: 0.1066, 18: 0.0294, 19: 0.075, 20: 0.0769, 21: 0.125, 22: 0, 23: 0}"
5,dpz2nmb,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.1429, 8: 0.0938, 9: 0.0647, 10: 0.0355, 11: 0.0926, 12: 0.096, 13: 0.0678, 14: 0.138, 15: 0.0962, 16: 0.1304, 17: 0.04, 18: 0, 19: 0.5, 20: 0, 21: 0, 22: 0, 23: 0}"
6,dpz2nhk,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.0392, 9: 0, 10: 0.3125, 11: 0.2105, 12: 0.2143, 13: 0.2, 14: 0.1667, 15: 0.0645, 16: 0, 17: 0.1167, 18: 0.1419, 19: 0.213, 20: 0, 21: 0, 22: 0, 23: 0}"
7,dpz2nj3,"{0: 0, 1: 0.037, 2: 0, 3: 0, 4: 0.0439, 5: 0.0182, 6: 0.0362, 7: 0.0313, 8: 0.0417, 9: 0, 10: 0.0526, 11: 0, 12: 0.0313, 13: 0.0278, 14: 0.0346, 15: 0.0327, 16: 0.1042, 17: 0.025, 18: 0.0435, 19: 0.119, 20: 0.0526, 21: 0.2222, 22: 0.1111, 23: 0}"
8,dpz2nf9,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0909, 5: 0.0588, 6: 0.0744, 7: 0.0513, 8: 0, 9: 0, 10: 0.0758, 11: 0.0217, 12: 0.0789, 13: 0.1052, 14: 0.0542, 15: 0.046, 16: 0.0728, 17: 0.0906, 18: 0.1182, 19: 0.0417, 20: 0, 21: 0, 22: 0, 23: 0}"
9,dpz9jyk,"{0: 0, 1: 0, 2: 0.0286, 3: 0.0645, 4: 0, 5: 0.0294, 6: 0, 7: 0.0625, 8: 0, 9: 0.0357, 10: 0.0605, 11: 0.0569, 12: 0.0519, 13: 0.0679, 14: 0.0692, 15: 0.0921, 16: 0.134, 17: 0.1826, 18: 0.0714, 19: 0.0833, 20: 0, 21: 0, 22: 0.2, 23: 0}"
