,Car_Park_No,Name,Address,lat,lon,geohash
0,1,Hayden Street Garage,20 Charles Street East,43.66890716515657,-79.3850100133302,dpz83t9
1,3,Isabella,13 Isabella Street,43.667700853165314,-79.38474412155928,dpz83t3
2,5,Wellesley East,15 Wellesley Street East,43.66507480209484,-79.38367673091354,dpz83sf
3,11,Rosehill Garage,21 Pleasant Boulevard,43.68729182315803,-79.39283487633459,dpz8935
4,12,Alvin Ave ,30 Alvin Avenue,43.68954540299499,-79.39315558355923,dpz8937
5,13,DeLisle,10 DeLisle Avenue,43.68903893923469,-79.39509759867843,dpz8936
6,15,Yorkville-Cumberland Garage,37 Yorkville Avenue,43.671377809308225,-79.3899284568354,dpz83qn
7,17,Pape North,716 Pape Avenue,43.679575634745255,-79.34514592174955,dpz86rw
8,18,Keele St,351 Keele Street,43.66471139523337,-79.46422811584647,dpz2rsz
9,19,Pacific,385 Pacific Avenue,43.66491151180098,-79.46832821798735,dpz2rsu
10,20,Cedarvale,101 Cedarvale Avenue,43.68676228587911,-79.31119149206549,dpz8e0z
11,21,Amroth,72 Amroth Avenue,43.685342402995,-79.31145358355923,dpz8e0x
12,26,Queen-Victoria Garage,37 Queen Street East,43.65283586037865,-79.37711653774024,dpz83dz
13,28,Pape South,670 Pape Avenue,43.6781162098217,-79.34458285042399,dpz86rr
14,29,Holly Dunfield Garage,75 Holly Street,43.70668137108313,-79.39663972326747,dpz89k9
15,32,Bay/Lakeshore,45 Bay Street,43.643839001673435,-79.3781482766752,dpz839n
16,34,Dundas Square Garage,25 Dundas Street East,43.65628569895534,-79.37999898620727,dpz83em
17,36,Nathan Phillips Square,110 Queen Street West,43.6514961657335,-79.38366793340631,dpz83dd
18,39,Castlefield,20 Castlefield Avenue,43.7116831906918,-79.40034567805408,dpz89jq
19,41,Norton,7 Norton Avenue,43.67866789312724,-79.44361695100702,dpz82pq
20,42,Via Italia ,91 Via Italia,43.67678167361068,-79.4453685474351,dpz82pj
21,43,St. Lawrence Garage,2 Church Street,43.646622025795025,-79.37308641825844,dpz83cd
22,44,Fuller,14 Fuller Avenue,43.640594182901516,-79.439346119222,dpz822d
23,45,Broadview,111 Broadview Avenue,43.659439176524856,-79.35002941545982,dpz867g
24,47,Burnaby,125 Burnaby Boulevard,43.704559111835756,-79.41265394947781,dpz88uj
25,48,Lee,85 Lee Avenue,43.66997784124875,-79.29775759850556,dpz87tc
26,49,Roehampton,30 Roehampton Avenue,43.708214209013654,-79.39745931294355,dpz89kb
27,51,Lippincott ,365 Lippincott Street,43.66528939661835,-79.40993830319137,dpz82vp
28,52,University Garage,40 York Street,43.64552641326679,-79.3826069819666,dpz8397
29,53,Walnut,803 Richmond Street West,43.6446889114491,-79.41064472799934,dpz82cq
30,55,Bedford Park,23 and 23R Bedford Park Avenue,43.727030744049365,-79.40439317766936,dpz8c07
31,58,Bedford Road,9 Bedford Road,43.668717673610686,-79.39763696361607,dpz83m8
32,62,Queen West ,1119 Queen Street West,43.64309080930822,-79.42417795683541,dpz828v
33,64,Durie,265 Durie Street,43.65115750014424,-79.47930865817435,dpz2r6k
34,68,Kensington Garage,20 St. Andrew Street,43.65419127451081,-79.39976909132085,dpz835n
35,71,Bellevue,35 Bellevue Avenue,43.65420139661835,-79.40329787979704,dpz835h
36,78,Erindale,35 Erindale Avenue,43.67743057617299,-79.35739168581568,dpz86pj
37,79,Sherbourne,405 Sherbourne Street,43.66454150597262,-79.37357987979703,dpz83uc
38,80,Keele,400 Keele Street,43.666182932829386,-79.46491612450212,dpz2rtp
39,81,Lansdowne,695 Lansdowne Avenue,43.65906401610015,-79.44291980278734,dpz825z
