,Unnamed: 0,highway,side,between,time,start_loc,end_loc,end_lat,end_lon,start_lat,start_lon,avg_lat,avg_lon,geohash
0,0,Abbs Street,South,Brock Avenue and the west end of Abbs Street,Anytime,Brock Avenue , the west end of Abbs Street,43.64196863389781,-79.43324227627318,43.642116,-79.432632,43.6420423169489,-79.4329371381366,dpz822y
1,1,Aberdeen Avenue,North,A point 106.7 metres west of Parliament Street and a point 21.3 metres further west,Anytime,A point 106.7 metres west of Parliament Street , a point 21.3 metres further west,43.648690000000045,-79.38543999999996,43.665021,-79.368282,43.65685550000002,-79.37686099999998,dpz83er
2,2,Aberdeen Avenue,South,Parliament Street and Ontario Street,Anytime,Parliament Street , Ontario Street,43.664508000000005,-79.37086049999999,43.665021,-79.368282,43.664764500000004,-79.36957124999999,dpz83uu
3,3,Acacia Road,East,Belsize Drive and Davisville Avenue,Anytime,Belsize Drive , Davisville Avenue,43.699725000000015,-79.389621,43.701939,-79.39027349999999,43.700832000000005,-79.38994725,dpz897q
4,4,Adelaide Place,Both,Adelaide Street West and the south end of Adelaide Place,Anytime,Adelaide Street West , the south end of Adelaide Place,43.645481999999994,-79.401771,43.645482,-79.401771,43.645482,-79.401771,dpz831m
5,5,Adelaide Street West,North,Massey Street and Strachan Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",Massey Street , Strachan Avenue,43.643322000000005,-79.4124135,43.643169,-79.413201,43.643245500000006,-79.41280725,dpz82cj
6,6,Adelaide Street West,North,Tecumseth Street and Portugal Square,Anytime,Tecumseth Street , Portugal Square,43.64482500000001,-79.4047545,43.64467200000001,-79.40578500000002,43.644748500000006,-79.40526975,dpz8316
7,7,Adelaide Street West,South,Crawford Street and Bathurst Street,Anytime,Crawford Street , Bathurst Street,43.644879,-79.4030715,43.642953000000006,-79.41429000000001,43.643916000000004,-79.40868075,dpz8310
8,8,Admiral Road,East and north,Lowther Avenue and St. George Street,Anytime,Lowther Avenue , St. George Street,43.674696925233654,-79.40323533532711,43.67007000000001,-79.3994445,43.672383462616835,-79.40133991766356,dpz83nm
9,9,Admiral Road,West,A point 40 metres north of Lowther Avenue and a point 26 metres further north,Anytime,A point 40 metres north of Lowther Avenue , a point 26 metres further north,43.648690000000045,-79.38543999999996,43.67007000000001,-79.3994445,43.65938000000003,-79.39244224999999,dpz837u
10,10,Adrian Avenue,South,Symington Avenue and Wiltshire Avenue,Anytime,Symington Avenue , Wiltshire Avenue,43.66802700000001,-79.45092449999999,43.667757,-79.452063,43.66789200000001,-79.45149375,dpz82j3
