,highway,side,between,time,start_loc,end_loc,start_lat,start_lon,end_lat,end_lon,avg_lat,avg_lon,geohash
0,Avenue Road,East,Hillholm Road and Oxton Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",Hillholm Road , Oxton Avenue,43.696926000000005,-79.4054025,43.69750200000001,-79.4056095,43.69750200000001,-79.4056095,dpz894f
1,Avenue Road,West,Kilbarry Road and Oxton Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays",Kilbarry Road , Oxton Avenue,43.695009,-79.40465999999999,43.69750200000001,-79.4056095,43.69750200000001,-79.4056095,dpz894f
2,Baldwin Street,North,Spadina Avenue and Augusta Avenue,Anytime,Spadina Avenue , Augusta Avenue,43.655103,-79.3990125,43.65450000000001,-79.40199150000001,43.65450000000001,-79.40199150000001,dpz835j
3,Baldwin Street,South,Spadina Avenue and a point 60.3 metres west,Anytime,Spadina Avenue , a point 60.3 metres west,43.655103,-79.3990125,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1
4,Baldwin Street,South,Augusta Avenue and a point 9 metres east,Anytime,Augusta Avenue , a point 9 metres east,43.65450000000001,-79.40199150000001,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1
5,Baldwin Street,South,Kensington Avenue and a point 9 metres east,Anytime,Kensington Avenue , a point 9 metres east,43.654742999999996,-79.4007,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1
6,Balliol Street,North,A point 12 metres west of Forman Avenue and Forman Avenue,Anytime,A point 12 metres west of Forman Avenue , Forman Avenue,43.70065199999999,-79.380243,43.70065199999999,-79.380243,43.70065199999999,-79.380243,dpz89em
7,Balliol Street,North,A point 132 metres east of the east branch of Mount Pleasant Road and a point 20 metres east thereof,Anytime,A point 132 metres east of the east branch of Mount Pleasant Road , a point 20 metres east thereof,43.7303548803299,-79.39835955109366,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1
8,Balliol Street,North,A point 15 metres west of Cleveland Street and Cleveland Street,Anytime,A point 15 metres west of Clevel, Street ,43.648690000000045,-79.38543999999996,43.6996306842432,-79.38509544891136,43.6996306842432,-79.38509544891136,dpz89e3
9,Balliol Street,North,A point 15 metres west of Martin Road and Martin Road,Anytime,A point 15 metres west of Martin Road , Martin Road,43.701003000000014,-79.3785735,43.701003000000014,-79.3785735,43.701003000000014,-79.3785735,dpz89ew
