,highway,side,between,time,period,start_loc,end_loc,start_lat,start_lon,end_lat,end_lon,avg_lat,avg_lon,geohash,time_1,time_2
0,Tenth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof,43.60002299999999,-79.508664,43.59849506842023,-79.50802520071517,43.59849506842023,-79.50802520071517,dpz2nbb,9:00 a.m. to 6:00 p.m., Mon. to Sat.
1,Eleventh Street,Both,Lake Shore Blvd W and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane,43.59979800000001,-79.5097125,43.597080205126176,-79.50858402698088,43.597080205126176,-79.50858402698088,dpz2n8x,9:00 a.m. to 6:00 p.m., Mon. to Sat.
3,Thirteenth Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof,43.599320999999996,-79.5118635,43.60221899999999,-79.51299525,43.60221899999999,-79.51299525,dpz2n9s,9:00 a.m. to 6:00 p.m., Mon. to Sat.
5,First Street,East,Lake Shore Boulevard West and a point 26 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 26 metres south,43.60226400000002,-79.4984805,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,9:00 a.m. to 6:00 p.m., Mon. to Sat.
6,Second Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof,43.60200299999999,-79.499655,43.63252200000001,-79.35327674999999,43.63252200000001,-79.35327674999999,dpz84r0,9:00 a.m. to 6:00 p.m., Mon. to Sat.
7,Thirty Sixth Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south,43.593669,-79.5369825,43.63189200000001,-79.35617475,43.63189200000001,-79.35617475,dpz84ny,8:00 a.m. to 6:00 p.m., Mon. to Sat.
8,Thirty Seventh Street,Both,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south,43.593408,-79.53819299999999,43.591105502459676,-79.53717843130032,43.591105502459676,-79.53717843130032,dpxrypd,8:00 a.m. to 6:00 p.m., Mon. to Sat.
9,Thirty Seventh Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south,43.593408,-79.53819299999999,43.59773351579239,-79.50401269747009,43.59773351579239,-79.50401269747009,dpz2nbd,8:00 a.m. to 6:00 p.m., Mon. to Sat.
10,Third Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof,43.60176899999999,-79.500744,43.63259898193229,-79.35504222343901,43.63259898193229,-79.35504222343901,dpz84pp,9:00 a.m. to 6:00 p.m., Mon. to Sat.
11,Third Street,Both,Lake Shore Boulevard West and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane,43.60176899999999,-79.500744,43.63259898193229,-79.35504222343901,43.63259898193229,-79.35504222343901,dpz84pp,9:00 a.m. to 6:00 p.m., Mon. to Sat.
12,Fourth Street,Both,Lake Shore Blvd W and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south,43.601508,-79.5018825,43.632200359592275,-79.35517153810731,43.632200359592275,-79.35517153810731,dpz84nz,9:00 a.m. to 6:00 p.m., Mon. to Sat.
13,Fourth Street,Both,Lake Shore Blvd W and the first lane north,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north,43.601508,-79.5018825,43.632200359592275,-79.35517153810731,43.632200359592275,-79.35517153810731,dpz84nz,9:00 a.m. to 6:00 p.m., Mon. to Sat.
14,Fifth Street,Both,Lake Shore Boulevard West and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south,43.60126500000001,-79.503021,43.63191978670129,-79.35531339335064,43.63191978670129,-79.35531339335064,dpz84nz,9:00 a.m. to 6:00 p.m., Mon. to Sat.
15,Fifth Street,Both,Lake Shore Boulevard West and a point 96.4 metres north of Lake Shore Boulevard West,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 96.4 metres north of Lake Shore Boulevard West,43.60126500000001,-79.503021,43.60126500000001,-79.503021,43.60126500000001,-79.503021,dpz2nc7,9:00 a.m. to 6:00 p.m., Mon. to Sat.
16,Sixth Street,East,Lake Shore Boulevard West and a point 6.5 metres north of the lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 6.5 metres north of the lane,43.601012999999995,-79.5041505,43.619787,-79.578261,43.619787,-79.578261,dpz2jhs,9:00 a.m. to 6:00 p.m., Mon. to Sat.
17,Sixth Street,West,A point 53 metres north of Morrison Street and a point 76 metres north therof,4:00 p.m. to 6:00 p.m.,10 mins.,A point 53 metres north of Morrison Street , a point 76 metres north therof,43.59863700000001,-79.50316049999999,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,4:00 p.m. to 6:00 p.m.,
18,Sixth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof,43.601012999999995,-79.5041505,43.63189200000001,-79.35617475,43.63189200000001,-79.35617475,dpz84ny,9:00 a.m. to 6:00 p.m., Mon. to Sat.
19,Sixth Street,West,Lake Shore Blvd W and the first lane north thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north thereof,43.601012999999995,-79.5041505,43.648690000000045,-79.38543999999996,43.648690000000045,-79.38543999999996,dpz83d1,9:00 a.m. to 6:00 p.m., Mon. to Sat.
20,Seventh Street,Both,Lake Shore Blvd W and the first lane north thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north thereof,43.60077000000001,-79.505253,43.59773351579239,-79.50401269747009,43.59773351579239,-79.50401269747009,dpz2nbd,9:00 a.m. to 6:00 p.m., Mon. to Sat.
