,highway,side,between,time,period,start_loc,end_loc
0,Tenth Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
1,Eleventh Street,Both,Lake Shore Blvd W and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane
3,Thirteenth Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof
5,First Street,East,Lake Shore Boulevard West and a point 26 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , a point 26 metres south
6,Second Street,Both,Lake Shore Blvd W and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south thereof
7,Thirty Sixth Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
8,Thirty Seventh Street,Both,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
9,Thirty Seventh Street,West,Lake Shore Boulevard West and a point 36.5 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Lake Shore Boulevard West , a point 36.5 metres south
10,Third Street,Both,Lake Shore Boulevard West and the first lane south thereof,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south thereof
11,Third Street,Both,Lake Shore Boulevard West and the first lane,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane
12,Fourth Street,Both,Lake Shore Blvd W and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane south
13,Fourth Street,Both,Lake Shore Blvd W and the first lane north,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Blvd W , the first lane north
14,Fifth Street,Both,Lake Shore Boulevard West and the first lane south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Lake Shore Boulevard West , the first lane south
