,lat,lng,geo_hash,record_date,8hr_Vehicle_Vol,8hr_Pedestrian_Vol
0,43.591686475,-79.54382121600001,dpxrvzt,2015-11-12,10946,280
1,43.592354742000005,-79.54258471700001,dpxrvzw,2016-06-11,12072,987
2,43.593382000000005,-79.538092,dpxrypf,2015-11-12,13675,1763
3,43.594339100000006,-79.53393200000001,dpz2n0j,2016-04-25,11202,786
4,43.5953296,-79.5296733,dpz2n22,2014-02-18,11260,638
5,43.596430000000005,-79.52497000000001,dpz2n27,2015-11-12,10258,1358
6,43.5972121,-79.521281,dpz2n2w,2014-01-29,15944,2967
7,43.598158100000006,-79.516936,dpz2n8c,2016-05-14,16881,1076
8,43.59935,-79.51186,dpz2n9j,2014-02-04,8594,644
9,43.600006300000004,-79.508604,dpz2n9p,2014-02-19,7847,1503
10,43.60071,-79.518,dpz2n92,2013-03-13,9660,794
11,43.60083,-79.50525,dpz2nc6,2016-05-14,16130,1950
12,43.601310000000005,-79.50301,dpz2nc7,2015-11-12,8224,1948
13,43.601690000000005,-79.54523,dpz2jck,2009-05-11,18160,905
14,43.6017233,-79.500725,dpz2ncm,2015-11-12,7960,1409
15,43.602270000000004,-79.49849,dpz2ncw,2015-11-12,7412,642
16,43.603233800000005,-79.5385002,dpz2n19,2013-05-15,6526,350
17,43.60329,-79.50629,dpz2nc9,2014-06-07,6801,359
18,43.6036287,-79.493109,dpz2p1f,2016-06-11,7179,400
19,43.60398,-79.51933000000001,dpz2n3z,2013-12-11,10857,641
20,43.60428,-79.53372,dpz2n1v,2009-12-01,8574,350
21,43.604850000000006,-79.49897,dpz2nfn,2012-10-17,3813,488
22,43.6060424,-79.54714080000001,dpz2jf5,2013-02-19,16277,170
23,43.606770000000004,-79.5066,dpz2nf3,2014-04-29,8332,118
24,43.607220000000005,-79.52074,dpz2n6q,2014-02-11,16598,699
25,43.608160000000005,-79.50034000000001,dpz2nft,2012-10-18,3348,203
26,43.608360000000005,-79.55863000000001,dpz2jde,2016-06-15,16900,107
27,43.60858,-79.49032000000001,dpz2p4s,2015-11-12,6794,142
28,43.608990000000006,-79.55642,dpz2jdu,2013-07-31,13646,277
29,43.609060958,-79.548308551,dpz2jff,2011-09-26,15839,175
30,43.60943,-79.56028,dpz2jdc,2011-03-28,13642,1478
31,43.60994,-79.55212,dpz2jdz,2011-06-15,13399,336
32,43.610558438000005,-79.549338547,dpz2jg1,2008-01-22,10455,102
33,43.611160000000005,-79.49000000000001,dpz2p5j,2015-11-25,6789,509
34,43.611250000000005,-79.54672000000001,dpz2jg5,2010-10-20,12929,77
35,43.611560000000004,-79.52254,dpz2n7j,2014-12-16,10565,114
36,43.611920000000005,-79.54379,dpz2jgm,2013-07-30,13636,131
37,43.612260000000006,-79.49672000000001,dpz2p52,2014-12-18,6453,895
38,43.61235,-79.56266000000001,dpz2je2,2010-04-22,26257,54
39,43.612574261000006,-79.540461459,dpz2n52,2013-07-31,10961,127
40,43.61309,-79.55228000000001,dpz2jex,2011-12-06,9713,0
41,43.61354,-79.53631,dpz2n5e,2012-01-10,10375,109
42,43.61363,-79.56037,dpz2je9,2008-05-27,21270,101
43,43.613712,-79.489287,dpz2p5t,2015-11-25,7610,2022
44,43.61375,-79.50845000000001,dpz2nex,2014-04-29,10698,89
45,43.614250000000006,-79.55618000000001,dpz2jes,2009-01-21,26239,684
46,43.6149403,-79.488612,dpz2p5y,2015-11-25,8705,2785
47,43.615012746000005,-79.552462344,dpz2jez,2011-12-15,31020,26
48,43.61589,-79.52461000000001,dpz2nk5,2015-05-20,27591,1056
49,43.616051492000004,-79.55715561800001,dpz2jsh,2011-10-03,11001,348
50,43.61647,-79.54625,dpz2juh,2013-09-04,28554,222
51,43.616966678000004,-79.518828392,dpz2ns0,2011-08-24,18139,92
52,43.617140000000006,-79.54347,dpz2juq,2010-06-09,24831,57
53,43.617291900000005,-79.48729900000001,dpz2phr,2015-11-25,8502,1159
54,43.61751,-79.49893,dpz2nuq,2015-01-06,8244,505
55,43.61777,-79.54085,dpz2nh2,2009-09-21,20873,428
56,43.6184,-79.51133,dpz2nsm,2014-04-29,18341,257
57,43.61885,-79.53625000000001,dpz2nhe,2012-08-08,20221,114
58,43.61912,-79.55527000000001,dpz2jst,2013-02-05,10004,168
59,43.61923,-79.52604000000001,dpz2nkd,2012-08-14,24251,35
60,43.6205,-79.54942000000001,dpz2juc,2016-06-07,16992,222
61,43.62053,-79.48326,dpz2pkf,2014-12-18,9027,457
62,43.62098,-79.52673,dpz2nkf,2014-12-02,33000,355
63,43.62102,-79.50034000000001,dpz2nuv,2016-05-09,11045,472
64,43.621950000000005,-79.52235,dpz2nmj,2009-09-23,15406,175
65,43.62252,-79.54060000000001,dpz2nj0,2010-01-14,11356,29
66,43.6226531,-79.519097,dpz2nmr,2011-03-28,15888,130
67,43.623005474,-79.481143355,dpz2pm7,2016-06-11,14829,1990
68,43.62319,-79.51677000000001,dpz2nt3,2012-07-30,17766,274
69,43.62364,-79.51478,dpz2nt7,2011-12-08,41090,1139
70,43.623774357,-79.483187199,dpz2pm6,2016-04-26,13569,531
71,43.62436,-79.51167000000001,dpz2ntt,2014-02-18,17507,300
72,43.62518,-79.48925,dpz2pjt,2015-01-20,7957,0
73,43.625260000000004,-79.52845,dpz2nm9,2013-12-04,22296,568
74,43.62534,-79.50722,dpz2nvb,2013-10-15,22298,448
75,43.625647997,-79.48615503900001,dpz2pjz,2014-12-18,15611,196
76,43.62601,-79.47970000000001,dpz2pmu,2016-06-27,10129,193
77,43.62635,-79.50258000000001,dpz2nvg,2014-10-06,23495,1832
78,43.62713,-79.48772000000001,dpz2pnn,2014-12-18,15868,133
79,43.62718,-79.55891000000001,dpz2jw4,2009-01-20,12955,354
80,43.62727,-79.47906,dpz2pqj,2014-12-08,11871,195
81,43.62738,-79.56237,dpz2jw0,2015-11-25,28100,223
82,43.627990154,-79.559091566,dpz2jw4,2008-04-07,34937,105
83,43.628150000000005,-79.49457000000001,dpz2pn3,2008-02-13,12464,110
84,43.628949683,-79.555132846,dpz2jwm,2008-02-07,21122,180
85,43.62899,-79.51697,dpz2nw3,2013-09-18,18102,708
86,43.62906,-79.49031000000001,dpz2pnk,2013-06-22,22123,231
87,43.629310000000004,-79.5798,dpz2jn7,2012-05-30,13528,375
88,43.62932,-79.47792000000001,dpz2pqm,2015-11-25,7324,577
89,43.630410000000005,-79.54983,dpz2jy9,2013-02-14,26788,850
90,43.630410000000005,-79.48422000000001,dpz2pq9,2015-01-15,19684,230
91,43.630456,-79.41983400000001,dpz80y8,2009-11-19,26451,68
92,43.63087,-79.48207000000001,dpz2pqf,2014-12-15,21662,531
93,43.630880000000005,-79.51774,dpz2nwb,2014-05-03,16364,302
94,43.63107,-79.54690000000001,dpz2jyg,2013-02-19,22100,243
95,43.631080000000004,-79.415553,dpz80yg,2009-12-07,21367,121
96,43.631310000000006,-79.47555,dpz2pqz,2014-12-03,6936,54
97,43.63132,-79.42941,dpz80wc,2012-06-25,28905,174
98,43.631370000000004,-79.55239,dpz2jwz,2014-11-25,13881,233
99,43.63154,-79.53102,dpz2nnz,2014-01-27,20231,300
100,43.631640000000004,-79.42724000000001,dpz80wf,2011-05-03,5836,25
