,geohash,capacity
0,dpz2n2w,22.0
1,dpz2n81,210.0
2,dpz2n8d,30.0
3,dpz2nc2,45.0
4,dpz2nc4,54.0
5,dpz2nc7,53.0
6,dpz2ncm,24.0
7,dpz2np6,72.0
8,dpz2np9,564.0
9,dpz2npv,829.0
10,dpz2nvg,15.0
11,dpz2ny5,28.0
12,dpz2p5t,23.0
13,dpz2p7s,10.0
14,dpz2p7v,22.0
15,dpz2pkg,80.0
16,dpz2pkn,28.0
17,dpz2pks,144.0
18,dpz2pmn,228.0
19,dpz2pqr,14.0
20,dpz2pxk,185.0
21,dpz2pzc,187.0
22,dpz2q1q,62.0
23,dpz2q2c,270.0
24,dpz2q34,534.0
25,dpz2q3e,473.0
26,dpz2q3j,25.0
27,dpz2q3t,283.0
28,dpz2q98,57.0
29,dpz2q9t,11.0
30,dpz2q9y,181.0
31,dpz2q9z,40.0
32,dpz2qf0,59.0
33,dpz2qf1,21.0
34,dpz2qz3,11.0
35,dpz2r4p,213.0
36,dpz2r66,148.0
37,dpz2r67,88.0
38,dpz2r6m,155.0
39,dpz2r6x,56.0
40,dpz2rgm,187.0
41,dpz2rm5,13.0
42,dpz2rsv,71.0
43,dpz2rtp,54.0
44,dpz2rub,77.0
45,dpz2ryg,37.0
46,dpz2ryu,7.0
47,dpz2v6q,23.0
48,dpz2we9,190.0
49,dpz2x1h,47.0
50,dpz2x3t,147.0
51,dpz2x99,14.0
52,dpz2xb0,24.0
53,dpz2zgg,632.0
54,dpz80pc,82.0
55,dpz80r4,120.0
56,dpz80zz,132.0
57,dpz81p3,65.0
58,dpz8229,53.0
59,dpz822w,32.0
60,dpz824c,10.0
61,dpz825z,40.0
62,dpz826y,34.0
63,dpz827c,56.0
64,dpz828j,329.0
65,dpz828v,29.0
66,dpz829n,8.0
67,dpz82b0,184.0
68,dpz82c2,20.0
69,dpz82cn,49.0
70,dpz82dk,47.0
71,dpz82f0,37.0
72,dpz82fw,43.0
73,dpz82g4,18.0
74,dpz82gk,104.0
75,dpz82kn,38.0
76,dpz82kp,35.0
77,dpz82p5,53.0
78,dpz82pj,169.0
79,dpz82pq,64.0
80,dpz82pr,14.0
81,dpz82ss,45.0
82,dpz82uc,33.0
83,dpz82ug,52.0
84,dpz82uu,58.0
85,dpz82uz,144.0
86,dpz82xc,18.0
87,dpz8305,50.0
88,dpz830f,135.0
89,dpz830k,81.0
90,dpz830x,37.0
91,dpz831y,120.0
92,dpz833d,41.0
93,dpz835h,91.0
94,dpz835n,450.0
95,dpz8361,35.0
96,dpz8365,99.0
97,dpz836b,357.0
98,dpz836y,36.0
99,dpz837s,38.0
100,dpz8397,323.0
101,dpz839n,330.0
102,dpz83cd,2008.0
103,dpz83dd,2087.0
104,dpz83dx,645.0
105,dpz83e0,27.0
106,dpz83em,265.0
107,dpz83f9,20.0
108,dpz83fv,258.0
109,dpz83j7,51.0
110,dpz83je,65.0
111,dpz83jk,38.0
112,dpz83jm,20.0
113,dpz83m8,399.0
114,dpz83pn,40.0
115,dpz83qh,172.0
116,dpz83qn,1036.0
117,dpz83qy,48.0
118,dpz83rt,71.0
119,dpz83sf,135.0
120,dpz83t3,33.0
121,dpz83t9,430.0
122,dpz83uc,110.0
123,dpz83uv,35.0
124,dpz8643,83.0
125,dpz8644,230.0
126,dpz8646,120.0
127,dpz864m,103.0
128,dpz867g,92.0
129,dpz8689,123.0
130,dpz86k4,22.0
131,dpz86m0,37.0
132,dpz86m4,25.0
133,dpz86pj,93.0
134,dpz86r6,83.0
135,dpz86re,23.0
136,dpz86rq,76.0
137,dpz86rs,47.0
138,dpz86rt,17.0
139,dpz86rw,85.0
140,dpz86rx,70.0
141,dpz86x8,30.0
142,dpz86xb,35.0
143,dpz86xc,27.0
144,dpz86yq,50.0
145,dpz87hp,270.0
146,dpz87hx,292.0
147,dpz87jj,18.0
148,dpz87jn,66.0
149,dpz87jr,10.0
150,dpz87m2,24.0
151,dpz87m3,24.0
152,dpz87md,45.0
153,dpz87n2,41.0
154,dpz87tc,68.0
155,dpz87w5,30.0
156,dpz880u,117.0
157,dpz882f,22.0
158,dpz8834,21.0
159,dpz8848,130.0
160,dpz884y,40.0
161,dpz886c,23.0
162,dpz8885,18.0
163,dpz888j,18.0
164,dpz888n,25.0
165,dpz88cm,43.0
166,dpz88e2,33.0
167,dpz88e6,28.0
168,dpz88uj,174.0
169,dpz88up,25.0
170,dpz892g,557.0
171,dpz8931,173.0
172,dpz8933,238.0
173,dpz8936,37.0
174,dpz8937,188.0
175,dpz89jq,163.0
176,dpz89jr,37.0
177,dpz89jz,46.0
178,dpz89k9,460.0
179,dpz89kn,68.0
180,dpz89kw,53.0
181,dpz89sx,33.0
182,dpz89u1,45.0
183,dpz8b11,610.0
