,geohash,parking_spots
0,dpxryrc,33.0
1,dpxryrd,19.0
2,dpxryxs,61.0
3,dpz2jqt,81.0
4,dpz2jzj,33.0
5,dpz2kf0,94.0
6,dpz2kf5,88.0
7,dpz2kfc,95.0
8,dpz2kfj,40.0
9,dpz2kfn,75.0
10,dpz2kfz,4.0
11,dpz2kg0,80.0
12,dpz2kgf,27.0
13,dpz2kgp,101.0
14,dpz2kgq,511.0
15,dpz2m2v,29.0
16,dpz2m42,62.0
17,dpz2m49,431.0
18,dpz2m4c,64.0
19,dpz2m50,23.0
20,dpz2m8s,23.0
21,dpz2ms7,43.0
22,dpz2mse,15.0
23,dpz2msk,10.0
24,dpz2n3q,52.0
25,dpz2nx3,38.0
26,dpz2p5w,26.0
27,dpz2pxk,189.0
28,dpz2pxt,151.0
29,dpz2pzc,172.0
30,dpz2q1z,7.0
31,dpz2qkg,25.0
32,dpz2quc,80.0
33,dpz2qw1,9.0
34,dpz2qw5,137.0
35,dpz2qwe,67.0
36,dpz2qxn,14.0
37,dpz2qxq,19.0
38,dpz2qyy,33.0
39,dpz2qyz,48.0
40,dpz2r4s,94.0
41,dpz2r90,40.0
42,dpz2r9q,18.0
43,dpz2r9r,118.0
44,dpz2r9x,66.0
45,dpz2r9z,14.0
46,dpz2rbd,16.0
47,dpz2rbg,72.0
48,dpz2rbq,19.0
49,dpz2rdm,39.0
50,dpz2rdp,38.0
51,dpz2rdq,0.0
52,dpz2rdr,54.0
53,dpz2rdw,24.0
54,dpz2rdx,11.0
55,dpz2rmw,150.0
56,dpz2rs0,19.0
57,dpz2sz5,28.0
58,dpz2tbj,32.0
59,dpz2tcp,42.0
60,dpz2tpt,42.0
61,dpz2tv6,24.0
62,dpz2tvw,147.0
63,dpz2txr,43.0
64,dpz2u0q,136.0
65,dpz2ucs,87.0
66,dpz2usc,26.0
67,dpz2usp,40.0
68,dpz2uux,75.0
69,dpz2uv2,30.0
70,dpz2v0k,29.0
71,dpz2v24,18.0
72,dpz2v2e,40.0
73,dpz2v4d,108.0
74,dpz2v7v,79.0
75,dpz2v7y,36.0
76,dpz2v8q,110.0
77,dpz2v8r,37.0
78,dpz2v98,31.0
79,dpz2v9b,33.0
80,dpz2vbc,59.0
81,dpz2ves,0.0
82,dpz2vhv,122.0
83,dpz2vj9,46.0
84,dpz2vk4,84.0
85,dpz2vq1,13.0
86,dpz2w4k,30.0
87,dpz2w7k,33.0
88,dpz2wb9,54.0
89,dpz2wbf,163.0
90,dpz2wbq,83.0
91,dpz2wde,18.0
92,dpz2we0,112.0
93,dpz2wjb,40.0
94,dpz2wmz,63.0
95,dpz2wwu,106.0
96,dpz2wy7,36.0
97,dpz2x09,148.0
98,dpz2x10,82.0
99,dpz2x3h,189.0
100,dpz2x3v,84.0
101,dpz2x3w,91.0
102,dpz2xhr,125.0
103,dpz2xke,79.0
104,dpz2xty,61.0
105,dpz2xuv,53.0
106,dpz2y19,90.0
107,dpz2y5c,77.0
108,dpz2ycu,102.0
109,dpz2ye4,0.0
110,dpz2ygt,70.0
111,dpz2ygz,85.0
112,dpz2ys5,31.0
113,dpz2yx2,68.0
114,dpz2yy4,57.0
115,dpz2yyw,23.0
116,dpz2z0e,36.0
117,dpz2z1b,49.0
118,dpz2z4b,29.0
119,dpz2z4d,26.0
120,dpz2z9n,10.0
121,dpz2zhs,41.0
122,dpz2zhu,29.0
123,dpz2zyt,15.0
124,dpz3n2h,110.0
125,dpz3p8v,62.0
126,dpz3p9t,59.0
127,dpz3p9z,79.0
128,dpz3pc3,141.0
129,dpz3pcb,78.0
130,dpz80pc,177.0
131,dpz80r5,116.0
132,dpz81p8,0.0
133,dpz823v,23.0
134,dpz828j,357.0
135,dpz82ce,27.0
136,dpz82sy,6.0
137,dpz836m,0.0
138,dpz83gh,13.0
139,dpz83rj,27.0
140,dpz83u2,4.0
141,dpz84ry,122.0
142,dpz8680,56.0
143,dpz8682,111.0
144,dpz86e2,6.0
145,dpz87hp,227.0
146,dpz87hx,227.0
147,dpz87k9,77.0
148,dpz881e,38.0
149,dpz8845,23.0
150,dpz889b,91.0
151,dpz88ke,29.0
152,dpz88nx,29.0
153,dpz88q8,29.0
154,dpz88rp,0.0
155,dpz88u0,89.0
156,dpz89h7,-1.0
157,dpz89he,123.0
158,dpz89qb,31.0
159,dpz89qm,67.0
160,dpz89uq,56.0
