,parkGeoHash,spendGeoHash,pctTimeSpend,parkGeoHash_AvgTimeToPark,parkGeoHash_PercentSearching,spendGeoHash_AvgTimeToPark,spendGeoHash_PercentSearching,distance,spend_lat,spend_lng,park_lat,park_lng,spendDistrict,spendFoodC,spendShopC,parkDistrict,parkFoodC,parkShopC,parkAvgTimeToParkRatio,parkTotalSearching,parkAvgUniqueGeohashes,parkAvgTotalGeohashes,parkPercentCar,parkPercentMPV,parkPercentLDT,parkPercentMDT,parkPercentHDT,parkPercentOther,spendAvgTimeToParkRatio,spendTotalSearching,spendAvgUniqueGeohashes,spendAvgTotalGeohashes,spendPercentCar,spendPercentMPV,spendPercentLDT,spendPercentMDT,spendPercentHDT,spendPercentOther
0,dpz2nth,dpz2ntm,0.1646,4.2656,0.2645,4.1833,0.12,610,43.62,-79.51,43.62,-79.51,Etobicoke,9,8,Etobicoke,2,3,1.4406,32,7.5938,11.25,0.0,0.1563,0.4375,0.0938,0.2188,0.0938,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222
1,dpz2ntw,dpz2ntm,0.0938,4.6771,0.05,4.1833,0.12,610,43.62,-79.51,43.62,-79.51,Etobicoke,9,8,Etobicoke,15,11,2.2011,8,4.125,6.875,0.0,0.125,0.125,0.125,0.625,0.0,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222
2,dpz2ntm,dpz2ntm,0.223,4.1833,0.12,4.1833,0.12,118,43.62,-79.51,43.62,-79.51,Etobicoke,9,8,Etobicoke,9,8,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222
3,dpz2ntq,dpz2ntm,0.0856,4.3179,0.1327,4.1833,0.12,610,43.62,-79.51,43.62,-79.51,Etobicoke,9,8,Etobicoke,2,12,1.4148,13,6.0769,8.4615,0.0,0.0,1.0,0.0,0.0,0.0,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222
4,dpz2nth,dpz2nt7,0.2464,4.2656,0.2645,5.013,0.2,610,43.62,-79.51,43.62,-79.51,Etobicoke,5,5,Etobicoke,2,3,1.4406,32,7.5938,11.25,0.0,0.1563,0.4375,0.0938,0.2188,0.0938,1.8071,9,4.7778,8.0,0.0,0.2222,0.3333,0.0,0.1111,0.3333
5,dpz2nt4,dpz2nt7,0.215,4.7185,0.0726,5.013,0.2,610,43.62,-79.51,43.62,-79.52,Etobicoke,5,5,Etobicoke,5,3,1.4687,9,6.0,8.3333,0.1111,0.2222,0.5556,0.0,0.0,0.1111,1.8071,9,4.7778,8.0,0.0,0.2222,0.3333,0.0,0.1111,0.3333
6,dpz2nt7,dpz2nt7,0.166,5.013,0.2,5.013,0.2,118,43.62,-79.51,43.62,-79.51,Etobicoke,5,5,Etobicoke,5,5,1.8071,9,4.7778,8.0,0.0,0.2222,0.3333,0.0,0.1111,0.3333,1.8071,9,4.7778,8.0,0.0,0.2222,0.3333,0.0,0.1111,0.3333
7,dpz2nt6,dpz2nt7,0.2743,3.8219,0.0635,5.013,0.2,610,43.62,-79.51,43.62,-79.52,Etobicoke,5,5,Etobicoke,5,7,1.3701,19,4.9474,7.5789,0.1053,0.0526,0.2105,0.0,0.5263,0.1053,1.8071,9,4.7778,8.0,0.0,0.2222,0.3333,0.0,0.1111,0.3333
8,dpz2nth,dpz2nth,0.1904,4.2656,0.2645,4.2656,0.2645,118,43.62,-79.51,43.62,-79.51,Etobicoke,2,3,Etobicoke,2,3,1.4406,32,7.5938,11.25,0.0,0.1563,0.4375,0.0938,0.2188,0.0938,1.4406,32,7.5938,11.25,0.0,0.1563,0.4375,0.0938,0.2188,0.0938
9,dpz2ntm,dpz2nth,0.0231,4.1833,0.12,4.2656,0.2645,610,43.62,-79.51,43.62,-79.51,Etobicoke,2,3,Etobicoke,9,8,1.416,9,5.5556,8.0,0.0,0.1111,0.1111,0.0,0.5556,0.2222,1.4406,32,7.5938,11.25,0.0,0.1563,0.4375,0.0938,0.2188,0.0938
