,address,capacity,carpark_type,id,is_ttc,lat,lng,max_height,payment_methods,payment_options,rate_details,rate_half_hour,geohash
0,20 Charles Street,430.0,garage,1,False,43.668997,-79.385093,2.00,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $220', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$12.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}]}",2.00,dpz83t9
1,13 Isabella Street,33.0,surface,3,False,43.667577,-79.384707,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': 'NO MAXIMUM'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$7.00'}]}, {'title': 'Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $150\r\nPermits currently not available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$7.00'}]}]}",2.25,dpz83t3
2,15 Wellesley Street East,135.0,surface,5,False,43.664837,-79.383591,0.00,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Pay at Exit Lane Stations', 'Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday to Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$14.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $240\r\nPermits currently available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Maximum (7am - 7am)', 'rate': '$5.00'}]}]}",2.00,dpz83sf
3,21 Pleasant Blvd.,557.0,garage,11,False,43.687092,-79.39285,1.90,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$10.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}, {'title': 'Sunday', 'notes': ['Unreserved Monthly permit price - $170', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348', 'Unreserved Monthly permit price - $170', 'Permits currently available', 'Inquires at 416-393-7348'], 'rates': [{'when': 'Maximum (Sunday 7am - Monday 7am)', 'rate': '$5.00'}]}]}",1.75,dpz892g
4,30 Alvin Avenue,188.0,surface,12,False,43.689202,-79.393269,2.67,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Pay at Exit Lane Stations', 'Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (6am - 6pm)', 'rate': '$20.00'}, {'when': 'Night Maximum (6pm - 6am)', 'rate': '$5.00'}]}, {'title': 'Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Maximum (6am - 6am)', 'rate': '$5.00'}]}]}",2.50,dpz8937
5,20 Delisle Avenue,238.0,garage,13,False,43.689,-79.395586,2.10,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Pay and Display', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday & Holidays (Attended)', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$13.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}, {'title': 'Sunday (Attended)', 'notes': [], 'rates': [{'when': 'Maximum (Sunday 7am - Monday 7am)', 'rate': '$5.00'}]}, {'title': 'Monday - Sunday & Holidays (Unattended)', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '2 HOUR MAXIMUM'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}]}",2.00,dpz8933
6,37 Yorkville Avenue,1036.0,garage,15,False,43.671286,-79.389331,1.90,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$12.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Sunday', 'notes': ['Unreserved Monthly permit price - $240', 'Permits currently available', 'Inquires at 416-393-7348'], 'rates': [{'when': 'Maximum (Sunday 7am - Monday 7am)', 'rate': '$6.00'}]}]}",2.00,dpz83qn
7,670 Pape Avenue,76.0,surface,28,False,43.678146,-79.344774,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $90', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$5.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.00,dpz86rq
8,351 Keele Street,77.0,surface,18,False,43.664581,-79.463993,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $65', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz2rub
9,385 Pacific Avenue,71.0,surface,19,False,43.664736,-79.468124,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $55', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$5.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz2rsv
