,geohash,capacity
0,dpz83t9,430.0
1,dpz83t3,33.0
2,dpz83sf,135.0
3,dpz892g,557.0
4,dpz8937,188.0
5,dpz8933,238.0
6,dpz83qn,1036.0
7,dpz86rq,76.0
8,dpz2rub,77.0
9,dpz2rsv,71.0
10,dpz8e0z,37.0
11,dpz8e0w,54.0
12,dpz83dx,645.0
13,dpz86rw,85.0
14,dpz89k9,460.0
15,dpz839n,330.0
16,dpz83em,265.0
17,dpz83dd,2087.0
18,dpz89jq,163.0
19,dpz82pq,64.0
20,dpz82pj,169.0
21,dpz83cd,2008.0
22,dpz8229,53.0
23,dpz867g,92.0
24,dpz88uj,174.0
25,dpz87tc,68.0
26,dpz82uz,144.0
27,dpz8397,323.0
28,dpz82cn,49.0
29,dpz8c05,42.0
30,dpz83m8,399.0
31,dpz828v,29.0
32,dpz2r6m,155.0
33,dpz835n,450.0
34,dpz835h,91.0
35,dpz86pj,93.0
36,dpz83uc,110.0
37,dpz2rtp,54.0
38,dpz825z,40.0
39,dpz827c,56.0
40,dpz82kp,35.0
41,dpz82uu,58.0
42,dpz86r6,83.0
43,dpz86rs,47.0
44,dpz86rx,70.0
45,dpz86x8,30.0
46,dpz2r66,148.0
47,dpz82ug,52.0
48,dpz82ss,45.0
49,dpz831y,120.0
50,dpz83pn,40.0
51,dpz83uv,35.0
52,dpz8dbq,25.0
53,dpz82gk,79.0
54,dpz82gk,25.0
55,dpz2r6x,56.0
56,dpz83fv,258.0
57,dpz82kn,38.0
58,dpz88e6,28.0
59,dpz86rt,17.0
60,dpz89jz,46.0
61,dpz82p5,53.0
62,dpz86xc,27.0
63,dpz2r67,88.0
64,dpz82uc,33.0
65,dpz86m0,37.0
66,dpz86xb,35.0
67,dpz8c0u,26.0
68,dpz88e2,33.0
69,dpz86re,23.0
70,dpz89u1,20.0
71,dpz89u1,25.0
72,dpz822w,32.0
73,dpz8931,173.0
74,dpz88cm,43.0
75,dpz82c2,20.0
76,dpz82dk,47.0
77,dpz87w5,30.0
78,dpz89kw,53.0
79,dpz8dbj,24.0
80,dpz86yq,50.0
81,dpz89kn,68.0
82,dpz86m4,25.0
83,dpz87n2,41.0
84,dpz828j,357.0
85,dpz87md,24.0
86,dpz87md,21.0
87,dpz87m3,24.0
88,dpz87m2,24.0
89,dpz82g4,18.0
90,dpz82f0,37.0
91,dpz83jm,20.0
92,dpz90bj,50.0
93,dpz8b9r,97.0
94,dpz80zz,132.0
95,dpz8bzv,68.0
96,dpz8byt,112.0
97,dpz8byu,387.0
98,dpz8bzd,173.0
99,dpz8bc0,32.0
100,dpz90cf,62.0
101,dpz8bvx,17.0
102,dpz8byk,34.0
